BACODE,COAL,GAS,OIL,OFSL,OTHF,NUCLEAR,BIOMASS,GEOTHERMAL,HYDRO,SOLAR,WIND
SC,0.6006481922118403,0.30612126944575296,0.002730707087386729,0.0021479543537969133,0.0,0.0,0.03816815022648873,0.0,0.025290615936956886,0.024893110737777523,0.0
SEPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0028868235426406544,0.0,0.9673114987119217,0.029801677745437665,0.0
SOCO,0.14866933476265073,0.5459019313685829,0.0010642189474513967,0.00036303862154136974,0.0,0.20811552410949322,0.035214304725232445,0.0,0.024620810261950447,0.036050837203097555,0.0
SWPP,0.25667732194778925,0.27658623909649876,0.0009272845089873911,0.001032434898425944,0.0,0.06167973513877849,0.003916605618536621,0.0,0.02988479020343613,0.0036784432496318404,0.36561714533791556
SPA,0.21908323537838492,0.00013067053504234837,0.0004842516131701424,0.0,0.0,0.0,0.0,0.0,0.543452463696847,0.0055586600320422196,0.2312907187445134
TEC,0.03164428593240183,0.8724656602021756,0.00024605836249700925,0.00886836842457515,0.0,0.0,0.007255848021431212,0.0,0.0,0.07951977905691901,0.0
TVA,0.13733424320044382,0.3380160347588853,0.0006948515036777152,0.0,0.0,0.4169862360880303,0.005903329843102701,0.0,0.09114943595130802,0.009817544051496565,9.832460305563275e-05
TEPC,0.6529878760925191,0.15473062270323298,0.0020918202112152917,0.0,0.0,0.0,0.0,0.0,0.0,0.10250569138948827,0.08768398960354433
TIDC,0.0,0.7558707497969708,-1.6449132844627212e-06,0.0,0.0,0.0,0.0,0.0,0.24413089511631364,0.0,0.0
WALC,0.031339445633480324,0.4136287002836698,2.0716008884082504e-06,0.0,0.0,0.0,0.0,0.0,0.4500230098191211,0.04650093462383898,0.05850583803900145
WACM,0.7289325731135594,0.09455197422156325,0.0009922393006169719,0.0,0.0,0.0,0.0002904524170808564,0.0,0.0415717934271441,0.014120153959974643,0.11954081356006095
WAUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9469636167093631,0.0,0.053036383290636896
